sku,name,desc,price,in_stock,type,short,long,category
APP0344,"Apple Thunderbolt Display 27 ""Monitor Mac",Monitor Display 27-inch Apple Thunderbolt (MC914ZM / A).,1149.0,0,1296,APP,Apple,computer parts
APP0370,Apple TV media player,Apple multimedia player.,79.0,0,4259,APP,Apple,others
APP0390,"Apple MacBook Pro 133 ""Core i5 25GHz | 4GB RAM | 500GB HDD",MacBook Pro laptop 133 inches (MD101Y / A).,1199.0,0,1282,APP,Apple,apple computers&laptops
APP0574,Apple MacBook Pro 133 '' i7 29GHz | 4GB RAM | 500GB HDD,Apple MacBook Pro 133 inches (MD101Y / A) with extension Processor.,1379.0,0,1282,APP,Apple,apple computers&laptops
APP0490,Apple Airport Express,Airport Express base station 802.11a / b / g / n.,109.0,0,1334,APP,Apple,network devices
APP0399,Apple Thunderbolt to Gigabit Ethernet Adapter Mac,Mac adapter Thunderbolt to Gigabit Ethernet (MD463ZM / A).,35.0,1,1325,APP,Apple,adapters & cables
APP0400,Apple MagSafe to MagSafe converter 2,MagSafe to MagSafe converter 2.,12.0,0,1325,APP,Apple,adapters & cables
APP0407,Apple USB SuperDrive (June 2012 Model),New CD / DVD retina MacBook Pro MacBook Air iMac Mac Pro and Mac Mini.,89.0,1,1424,APP,Apple,others
APP0408,Apple 45W MagSafe 2 charger MacBook Air,Charger MacBook Air MagSafe 2 of 45 W (MD592Z / A).,89.0,0,13005399,APP,Apple,computer parts
APP0409,Apple 85W MagSafe 2 charger MacBook Pro Retina screen 15 '',MagSafe charger 2 of 85 W (MD506Z / A).,89.0,1,13005399,APP,Apple,computer parts
APP0410,Apple Thunderbolt to FireWire 800 adapter,Adapter Thunderbolt to Firewire 800 connection.,35.0,1,1325,APP,Apple,adapters & cables
APP0416,Apple iPod Touch 32GB Silver,New generation iPod touch 5 32GB white / silver.,279.0,0,11821715,APP,Apple,tech accessories
APP0417,Apple iPod Touch 32GB yellow,New 5 generation iPod touch 32GB yellow.,279.0,0,11821715,APP,Apple,tech accessories
APP0418,Apple iPod Touch 32GB Blue,New 5 generation iPod touch 32GB blue.,279.0,0,11821715,APP,Apple,tech accessories
APP0419,Apple iPod Touch 32GB Pink,New 5 generation iPod touch 32GB rose.,279.0,0,11821715,APP,Apple,tech accessories
APP0421,Apple iPod Touch 64GB Silver,New iPod touch 5 generation white / silver 64GB.,339.0,0,11821715,APP,Apple,tech accessories
APP0422,Apple iPod Touch 64GB yellow,New 5 generation iPod touch 64GB yellow.,339.0,0,11821715,APP,Apple,tech accessories
APP0423,Apple iPod Touch 64GB Blue,New 5 generation iPod touch 64GB blue.,339.0,0,11821715,APP,Apple,tech accessories
APP0424,Apple iPod Touch 64GB Pink,New 5 generation iPod touch 64GB rose.,339.0,0,11821715,APP,Apple,tech accessories
APP0426,Apple iPod nano 16Gb Silver,Music player iPod nano 7 Generation 16GB silver.,179.0,0,11821715,APP,Apple,tech accessories
APP0427,Apple iPod nano 16Gb purple,Music player iPod nano 7 Generation 16GB purple.,179.0,0,11821715,APP,Apple,tech accessories
APP0428,Apple iPod nano 16Gb pink,Music player iPod nano 16GB 7 Generation rose.,179.0,0,11821715,APP,Apple,tech accessories
APP0429,Apple iPod nano 16Gb yellow,Music player iPod nano 7 Generation 16GB yellow.,179.0,0,11821715,APP,Apple,tech accessories
APP0430,Apple iPod nano 16Gb Green,Music player iPod nano 16GB 7 Generation Green.,179.0,0,11821715,APP,Apple,tech accessories
APP0431,Apple iPod nano 16Gb Blue,Music player iPod nano 7 Generation 16GB blue.,179.0,0,11821715,APP,Apple,tech accessories
APP0434,Apple 5W USB power adapter iPhone and iPod,USB Power Adapter 5W 1A for iPhone iPod and Apple Watch.,25.0,1,14365395,APP,Apple,others
APP0435,Apple Lightning to 30-pin adapter iPhone 5 / 5S iPad mini and iPod,Lightning connector adapter 30-pin iPhone 5 / 5S and 5G iPod Touch Nano 7G (02m).,45.0,0,14365395,APP,Apple,adapters & cables
APP0436,Apple Lightning adapter to 30-pin connector,Lightning adapter connector 30-pin iPhone 5 iPod Touch 5 iPod Nano 7.,35.0,0,14365395,APP,Apple,adapters & cables
APP0437,Apple EarPods headset with microphone connector Jack iPad and iPod,IPhone iPad and iPod headphones with microphone and remote.,35.0,1,5384,APP,Apple,computer parts
APP0438,Apple Lightning connector cable to USB 1m White,Lightning USB cable 1 meter to charge and sync iPhone iPad and iPod.,25.0,1,1230,APP,Apple,adapters & cables
APP0483,Apple Lightning to VGA Adapter,Lightning connector adapter to VGA.,59.0,0,1230,APP,Apple,adapters & cables
APP0464,Apple adapter 12 W USB iPhone iPod and iPad,USB Power Adapter 12 W for iPhone iPad and iPod.,25.0,1,5395,APP,Apple,adapters & cables
APP0474,"Apple 60W MagSafe 2 charger MacBook Pro Retina Display 13 """,MagSafe charger 2 of 60 W (MD565Z / A).,89.0,0,13005399,APP,Apple,computer parts
APP0481,Apple Lightning to USB adapter for cameras,Lightning connector adapter USB camera (MD821ZM / A).,35.0,0,5395,APP,Apple,adapters & cables
APP0482,Adapter Apple Lightning to SD Card Reader,Lightning connector adapter to SD card reader (MD822ZM / A).,35.0,0,5395,APP,Apple,adapters & cables
APP0484,Apple Digital AV Adapter to Lightning,Lightning adapter connector to digital AV (MD826ZM / A).,59.0,1,5395,APP,Apple,adapters & cables
APP0498,Apple Lightning connector cable to USB 50cm,Lightning to USB Cable for iPhone 5 iPad mini iPad 4 / Air iPod Touch 5 iPod Nano 7.,25.0,0,1230,APP,Apple,adapters & cables
APP0504,Adapter Apple Lightning to Micro USB connector,Lightning connector adapter to Micro USB (MD820ZM).,25.0,0,5395,APP,Apple,adapters & cables
APP0529,Apple Airport Extreme Base Station,Base station with Wi-Fi 802.11ac technology.,219.0,0,1334,APP,Apple,network devices
APP0530,Apple AirPort Time Capsule 2TB,Base Airport 802.11ac Wi-Fi and 2TB hard drive.,329.0,0,11935397,APP,Apple,network devices
APP0531,Apple AirPort Time Capsule 3TB,Base Airport 802.11ac Wi-Fi and 3TB hard drive.,429.0,0,11935397,APP,Apple,network devices
APP0623,Apple Mac Pro Quad-Core 37GHz | 12GB RAM | 256GB Flash,Apple Mac Pro Quad-Core 37GHz 12GB RAM 256GB Flash (ME253Y / A).,3449.0,0,1282,APP,Apple,apple computers&laptops
APP0815,Apple Mac Pro Quad-Core 37GHz | 12GB RAM | 512GB Flash,New Apple Mac Pro Quad-Core 37GHz 12GB RAM and 512GB Flash.,3689.0,0,1282,APP,Apple,apple computers&laptops
APP0814,Apple Mac Pro Quad-Core 37GHz | 12GB RAM | 256GB Flash | FirePro D500 3GB,New Apple Mac Pro Quad-Core 37GHz 12GB RAM 256GB 3GB Flash + FirePro D500.,3929.99,0,1282,APP,Apple,apple computers&laptops
APP0817,Apple Mac Pro Quad-Core 37GHz | 12GB RAM | 512GB Flash | FirePro D500 3GB,New Apple Mac Pro Quad-Core 37GHz 12GB Flash RAM 3GB 512GB and FirePro D500.,4169.0,0,1282,APP,Apple,apple computers&laptops
APP0816,Apple Mac Pro Quad-Core 37GHz | 12GB RAM | 1TB Flash,Apple Mac Pro with 12GB of RAM 37GHz Six cores and 1TB Flash.,4169.0,0,1282,APP,Apple,apple computers&laptops
APP0818,Apple Mac Pro Quad-Core 37GHz | 12GB RAM | 1TB Flash | FirePro D500 3GB,New Apple Mac Pro Quad-Core 37GHz 12GB RAM 1TB Flash and FirePro D500 3GB.,4649.0,0,1282,APP,Apple,apple computers&laptops
APP0624,Apple Mac Pro six cores 35GHz | 16GB RAM | 256GB Flash,New Mac Pro with 16 GB of RAM 6 Core 2 GPU and 256GB Flash (MD878Y / A).,4649.0,0,1282,APP,Apple,apple computers&laptops
APP0819,Apple Mac Pro six cores 35GHz | 16GB RAM | 256GB Flash | FirePro D700 6GB,New Mac Pro with 16 GB of RAM 2 6-core D700 GPU and 256GB Flash (MD878Y / A).,5369.0,0,1282,APP,Apple,apple computers&laptops
APP0811,Apple Mac Pro six cores 35GHz | 16GB RAM | 512GB Flash | FirePro D700 6GB,New Mac Pro with 16GB of RAM 6 cores and 1TB Flash 2 GPU (MD878Y / A).,5609.0,0,1282,APP,Apple,apple computers&laptops
APP0821,Apple Mac Pro six cores 35GHz | 16GB RAM | 1TB Flash | FirePro D700 6GB,New Mac Pro with 16GB of RAM 6 cores and 1TB Flash 2 GPU (MD878Y / A).,6089.0,0,1282,APP,Apple,apple computers&laptops
APP0820,Apple Mac Pro six cores 35GHz | 16GB RAM | 1TB Flash,New Mac Pro with 16GB of RAM 6 cores and 1TB Flash 2 GPU (MD878Y / A).,5369.0,0,1282,APP,Apple,apple computers&laptops
APP0733,Apple Mac Pro six cores 35GHz | 16GB RAM | 512GB Flash,New Mac Pro with 16 GB of RAM 6 Core 2 GPU and 512GB Flash (MD878Y / A).,4889.0,0,1282,APP,Apple,apple computers&laptops
APP0853,Apple Mac Pro 12-core 27 Ghz | 16GB RAM | 512GB Flash,New Mac Pro with 16GB of RAM 12-core GPU 512GB Flash 2 (MD878Y / A).,8489.0,0,1282,APP,Apple,apple computers&laptops
APP0987,Apple Mac Pro 12-core 27 Ghz | 16GB RAM | 512GB Flash | FirePro D700 6GB,New Mac Pro with 16GB of RAM 12-core GPU 6GB 512GB Flash 2 (MD878Y / A).,9209.0,0,1282,APP,Apple,apple computers&laptops
APP0988,Apple Mac Pro 12-core 27GHz | 16GB RAM | 256GB Flash,New Mac Pro with 16GB of RAM 12-core GPU 256GB Flash 2 (MD878Y / A).,8249.0,0,1282,APP,Apple,apple computers&laptops
APP0989,Apple Mac Pro 12-core 27GHz | 16GB RAM | 256GB Flash | FirePro D700 6GB,New Mac Pro with 16GB of RAM 12-core GPU 256GB Flash 2 (MD878Y / A).,8969.0,0,1282,APP,Apple,apple computers&laptops
APP0990,Apple Mac Pro 12-core 27GHz | 16GB RAM | 1TB Flash,New Mac Pro with 16GB of RAM 12-core GPU 1TB 2 Flash (MD878Y / A).,8969.0,0,1282,APP,Apple,apple computers&laptops
APP0991,Apple Mac Pro 12-core 27GHz | 16GB RAM | 1TB Flash | FirePro D700 6GB,New Mac Pro with 16GB of RAM 12-core GPU 1TB 2 Flash (MD878Y / A).,9689.0,0,1282,APP,Apple,apple computers&laptops
APP0647,Apple Smart Case iPad Air Case Black,Smart leather case for your iPad Air.,89.0,0,12635403,APP,Apple,tech accessories
APP0675,Apple iPhone 5S 32GB Space Gray,New Free iPhone 5S 32GB (ME435Y / A).,559.0,0,,APP,Apple,smartphone
APP0662,IMac AppleCare Protection Plan,Apple Care extended warranty for iMac.,179.0,1,1231,APP,Apple,others
APP0665,AppleCare Protection Plan Mac mini,Apple Care extended warranty Mac Mini.,89.0,1,1231,APP,Apple,others
APP0666,AppleCare Protection MacBook Pro 15,Apple Care extended warranty MacBook Pro 15-inch and 15-inch MacBook Pro Retina,349.0,1,1231,APP,Apple,others
APP0667,AppleCare Protection for Apple TV,Apple Care extended warranty AppleTV.,29.0,0,1231,APP,Apple,others
APP0668,AppleCare Protection Plan Apple Display,Apple Care extended warranty Display.,99.0,0,1231,APP,Apple,others
APP0663,"AppleCare Protection Plan MacBook / Air / Pro 13 """,Apple Care extended warranty Macbook Air / Macbook / Macbook Pro 13-inch.,249.0,1,1231,APP,Apple,others
APP0697,OEM USB Cable for iPhone iPad Dock and Apple iPod White Compatible,Cable OEM dock for iPhone iPad and iPod compatible USB Apple (unboxed),25.0,1,1230,APP,Apple,adapters & cables
APP0698,Apple Lightning Cable Connector to USB 1m White (OEM),Apple Lightning USB Cable 1 meter to charge and sync iPhone iPad and iPod,25.0,1,1230,APP,Apple,adapters & cables
APP0702,"60W MagSafe charger Apple MacBook and MacBook Pro 13 ""(OEM)",Charger 60W MagSafe unboxed for MacBook and MacBook Pro 13-inch,89.0,1,13005399,APP,Apple,computer parts
APP0703,"85W MagSafe charger Apple MacBook Pro 15 ""/ 17"" (OEM)",Apple MagSafe Power Charger 85W MacBook Pro unboxed,89.0,1,13005399,APP,Apple,computer parts
APP0718,Apple Thunderbolt Cable 2m Black,Cable Mac Apple Thunderbolt 2m.,45.0,0,1325,APP,Apple,adapters & cables
APP0735,Apple Thunderbolt Cable 0.5m White,Thunderbolt Cable 0.5m Apple Mac.,35.0,0,1325,APP,Apple,adapters & cables
APP0664,AppleCare Mac Pro,Apple Care extended warranty Mac Pro.,249.0,0,1231,APP,Apple,others
APP0823,Apple iPhone 6 16GB Silver,New iPhone 6 16GB Free (MG482QL / A).,639.0,0,,APP,Apple,smartphone
APP0829,Apple iPhone 6 Plus 16GB Silver,New iPhone 6 Plus 16G Free (MGA92QL / A).,749.0,0,,APP,Apple,smartphone
APP0822,Apple iPhone 6 16GB Space Gray,New iPhone 6 16GB Free (MG472QL / A).,639.0,0,,APP,Apple,smartphone
APP0825,Apple iPhone 6 64GB Space Gray,New iPhone 6 64GB Free (MG4F2QL / A).,749.0,0,,APP,Apple,smartphone
APP0826,Apple iPhone 6 64GB Silver,New iPhone 6 64GB Free (MG4H2QL / A).,749.0,0,,APP,Apple,smartphone
APP0828,Apple iPhone 6 Plus 16GB Space Gray,New 16GB iPhone 6 Plus Free (MGA82QL / A).,749.0,0,,APP,Apple,smartphone
APP0832,Apple iPhone 6 Plus Case White,Ultrathin silicone case and microfiber premium.,39.0,0,11865403,APP,Apple,tech accessories
APP0834,Apple iPhone 6 Plus Case Blue,Ultrathin silicone case and microfiber premium.,39.0,0,11865403,APP,Apple,tech accessories
APP0835,Apple iPhone 6 Plus Case Rosa,Ultrathin silicone case and microfiber premium.,39.0,0,11865403,APP,Apple,tech accessories
APP0836,Apple iPhone 6 Plus Case Green,Ultrathin silicone case and microfiber premium.,39.0,0,11865403,APP,Apple,tech accessories
APP0840,Apple iPhone 6 Plus Leather Case Black,Case premium leather.,49.0,0,11865403,APP,Apple,tech accessories
APP0841,Apple iPhone 6 Plus Leather Case Red,Case premium leather.,49.0,0,11865403,APP,Apple,tech accessories
APP0844,Apple iPhone 6 Leather Case Rosa,Leather Case for iPhone 6 premium.,45.0,0,11865403,APP,Apple,tech accessories
APP0856,Apple iPhone 6 128GB Gold,New Free iPhone 6 128GB (MG4E2QL / A).,899.0,0,,APP,Apple,smartphone
APP0857,Apple iPhone 6 Plus 64GB Space Gray,New iPhone 6 Plus 64GB Free (MGAH2QL / A).,859.0,0,,APP,Apple,smartphone
APP0858,Apple iPhone 6 Plus 64GB Silver,New 64GB iPhone 6 Plus Free (MGAJ2QL / A).,859.0,0,,APP,Apple,smartphone
APP0860,Apple iPhone 6 Plus 128GB Space Gray,iPhone 6 Plus 128GB Free (MGAC2QL / A).,999.0,0,,APP,Apple,smartphone
APP0863,Apple iPad Air 2 Wi-Fi 16GB Space Gray,New iPad Air 2 Wi-Fi 16GB (MGL12TY / A).,429.0,0,12141714,APP,Apple,tablets
APP0899,Apple Mac mini Core i5 14GHz | 4GB RAM | 500GB HDD,PC Mac mini Core i5 4GB 500GB 14GHz (MGEM2YP / A).,555.59,0,1282,APP,Apple,apple computers&laptops
APP0909,Apple Mac mini Core i5 14GHz | 8GB RAM | 500GB HDD,PC Mac Mini i5 14GHz 8GB 500GB (MGEM2YP / A).,675.59,0,1282,APP,Apple,apple computers&laptops
APP0910,Apple Mac mini Core i5 14GHz | 16GB RAM | 500GB HDD,PC Mac Mini i5 14GHz 16GB 500GB (MGEM2YP / A).,915.59,0,1282,APP,Apple,apple computers&laptops
APP0900,Apple Mac mini Core i5 26GHz | 8GB RAM | 1TB HDD,PC Mac mini Core i5 8GB 1TB 26GHz (MGEN2YP / A).,805.59,0,1282,APP,Apple,apple computers&laptops
APP0911,Apple Mac mini Core i5 26GHz | 16GB RAM | 1TB HDD,PC Mac mini Core i5 26GHz 16GB 1TB (MGEN2YP / A).,1039.0,0,1282,APP,Apple,apple computers&laptops
APP1024,Apple Mac mini Core i5 26GHz | 16GB RAM | 1TB Fusion,PC Mac mini Core i5 1TB Fusion Drive 16GB 26GHz (MGEN2YP / A).,1279.0,0,1282,APP,Apple,apple computers&laptops
APP1026,Apple Mac mini Core i5 26GHz | 16GB RAM | 256GB Flash,PC Mac mini Core i5 26GHz flah 16GB 256GB (MGEN2YP / A).,1279.0,0,1282,APP,Apple,apple computers&laptops
APP0933,Apple Mac mini Core i7 3hz | 16GB RAM | 1TB HDD,PC Mac mini Core i7 3GHz 16GB 1TB (MGEN2YP / A).,1339.0,0,1282,APP,Apple,apple computers&laptops
APP1927,Apple Mac mini Core i7 3GHz | 8GB RAM | 1TB HDD (MGEN2YP / A),Apple desktop Mac mini Core i7 3GHz | 8GB RAM | 1TB HDD (MGEN2YP / A),1099.0,1,1282,APP,Apple,apple computers&laptops
APP1929,Apple Mac mini Core i7 3GHz | 16GB RAM | 256GB Flash (MGEN2YP / A),Apple desktop Mac mini Core i7 3GHz | 16GB RAM | 256GB Flash (MGEN2YP / A).,1579.0,0,1282,APP,Apple,apple computers&laptops
APP0901,Apple Mac mini Core i5 28GHz | 8GB RAM | 1TB Fusion,PC Mac mini Core i5 28GHz 8GB 1TB Fusion Drive (MGEQ2YP / A).,1105.59,0,1282,APP,Apple,apple computers&laptops
APP0912,Apple Mac mini Core i5 28GHz | 16GB RAM | 1TB Fusion,PC Mac mini Core i5 1TB Fusion Drive 16GB 28GHz (MGEQ2YP / A).,1339.0,0,1282,APP,Apple,apple computers&laptops
APP0930,Apple Mac mini Core i7 3GHz | 16GB RAM | 1TB Fusion,PC Mac mini Core i7 3GHz 16GB 1TB Fusion Drive (MGEQ2YP / A).,1579.0,1,1282,APP,Apple,apple computers&laptops
APP1027,Apple Mac mini Core i5 28GHz | 16GB RAM | 2TB Fusion,PC Mac mini Core i5 28GHz Fusion Drive 16GB 2TB (MGEQ2YP / A.,1459.0,0,1282,APP,Apple,apple computers&laptops
APP1028,Apple Mac mini Core i7 3GHz | 16GB RAM | 2TB Fusion,PC Mac mini Core i7 3GHz 16GB 2TB Fusion Drive (MGEN2YP / A).,1699.0,0,1282,APP,Apple,apple computers&laptops
APP1029,Apple Mac mini Core i7 3GHz | 16GB RAM | 512GB Flash,PC Mac mini Core i7 3GHz 16GB 512GB Flash (MGEQ2YP / A).,1819.0,1,1282,APP,Apple,apple computers&laptops
APP0925,Apple Mac mini Core i7 3GHz | 16GB RAM | 256GB Flash,PC Mac mini Core i7 3GHz 16GB 1TB 256GB Flash (MGEQ2YP / A).,1579.0,0,1282,APP,Apple,apple computers&laptops
APP1930,Apple Mac mini Core i7 3GHz | 16GB RAM | 1TB Flash (MGEQ2YP / A),Apple desktop Mac mini Core i7 3GHz | 16GB RAM | 1TB Flash (MGEQ2YP / A).,2299.0,0,1282,APP,Apple,apple computers&laptops
APP1931,Apple Mac mini Core i7 3GHz | 8GB RAM | 1TB Fusion Drive (MGEQ2YP / A),Apple desktop Mac mini Core i7 3GHz | 8GB RAM | 1TB Fusion Drive (MGEQ2YP / A).,1339.0,0,1282,APP,Apple,apple computers&laptops
APP1932,Apple Mac mini Core i5 28GHz | 16GB RAM | 256GB Flash (MGEQ2YP / A),Apple desktop Mac mini Core i5 28GHz | 16GB RAM | 256GB Flash (MGEQ2YP / A).,1339.0,0,1282,APP,Apple,apple computers&laptops
APP1933,Apple Mac mini Core i5 26GHz | 8GB RAM | 1TB HDD,Apple desktop Mac mini Core i5 28GHz | 16GB RAM | 512GB Flash (MGEQ2YP / A).,1579.0,0,1282,APP,Apple,apple computers&laptops
APP1934,Apple Mac mini Core i5 28GHz | 16GB RAM | 1TB Flash (MGEQ2YP / A),Apple desktop Mac mini Core i5 28GHz | 16GB RAM | 1TB Flash (MGEQ2YP / A).,2059.0,0,1282,APP,Apple,apple computers&laptops
APP1935,Apple Mac mini Core i5 28GHz | 8GB RAM | Fusion Drive 2TB (MGEQ2YP / A),Apple desktop Mac mini Core i5 28GHz | 8GB RAM | Fusion Drive 2TB (MGEQ2YP / A).,1219.0,0,1282,APP,Apple,apple computers&laptops
APP1936,Apple Mac mini Core i5 28GHz | 8GB RAM | 256GB Flash (MGEQ2YP / A),Apple desktop Mac mini Core i5 28GHz | 8GB RAM | 256GB Flash (MGEQ2YP / A).,1099.0,0,1282,APP,Apple,apple computers&laptops
APP1937,Apple Mac mini Core i5 28GHz | 8GB RAM | 512GB Flash (MGEQ2YP / A),Apple desktop Mac mini Core i5 28GHz | 8GB RAM | 512GB Flash (MGEQ2YP / A).,1339.0,0,1282,APP,Apple,apple computers&laptops
APP1938,Apple Mac mini Core i5 28GHz | 8GB RAM | 1TB Flash (MGEQ2YP / A),Apple desktop Mac mini Core i5 28GHz | 8GB RAM | 1TB Flash (MGEQ2YP / A).,1819.0,0,1282,APP,Apple,apple computers&laptops
APP1928,Apple Mac mini Core i7 3GHz | 16GB RAM | 1TB Fusion Drive (MGEN2YP / A),Apple desktop Mac mini Core i7 3GHz | 8GB RAM | 1TB Fusion Drive (MGEN2YP / A).,1579.0,0,1282,APP,Apple,apple computers&laptops
APP0864,Apple iPad Air 2 Wi-Fi 16GB Silver,New iPad Air 2 Wi-Fi 16GB (MGLW2TY / A).,429.0,0,12141714,APP,Apple,tablets
APP0865,Apple iPad Air 2 Wi-Fi 16GB Dorado,New iPad Air 2 Wi-Fi 16GB (MH0W2TY / A).,429.0,0,12141714,APP,Apple,tablets
APP0866,Apple iPad Air 2 Wi-Fi 64GB Space Gray,New iPad Air 2 Wi-Fi 64GB (MGKL2TY / A).,529.0,0,12141714,APP,Apple,tablets
APP0867,Apple iPad Air 2 Wi-Fi 64GB Silver,New iPad Air 2 Wi-Fi 64GB (MGKM2TY / A).,529.0,0,12141714,APP,Apple,tablets
APP0868,Apple iPad Air 2 64GB Wi-Fi Dorado,New iPad Air 2 Wi-Fi 64GB (MH182TY / A).,529.0,0,12141714,APP,Apple,tablets
APP0878,Apple iPad Air 2 Wi-Fi + Cellular 128GB Space Gray,New iPad Air 2 Wi-Fi + Cellular 128GB (MGWL2TY / A).,659.0,0,12141714,APP,Apple,tablets
APP0877,Apple iPad Air 2 Wi-Fi + Cellular 64GB Dorado,New iPad Air 2 Wi-Fi + Cellular 64GB (MH172TY / A).,649.0,0,12141714,APP,Apple,tablets
APP0876,Apple iPad Air 2 Wi-Fi + Cellular 64GB Silver,New iPad Air 2 Wi-Fi + Cellular 64GB (MGHY2TY / A).,649.0,0,12141714,APP,Apple,tablets
APP0875,Apple iPad Air 2 Wi-Fi + Cellular 64GB Space Gray,New iPad Air 2 Wi-Fi + Cellular 64GB (MGHX2TY / A).,649.0,0,12141714,APP,Apple,tablets
APP0874,Apple iPad Air 2 Wi-Fi + Cellular 16GB Dorado,New iPad Air 2 Wi-Fi + Cellular 16GB (MH1C2TY / A).,549.0,0,12141714,APP,Apple,tablets
APP0873,Apple iPad Air 2 Wi-Fi + Cellular 16GB Silver,New iPad Air 2 Wi-Fi + Cellular 16GB (MGH72TY / A).,549.0,0,12141714,APP,Apple,tablets
APP0872,Apple iPad Air 2 Wi-Fi + Cellular 16GB Space Gray,New iPad Air 2 Wi-Fi + Cellular 16GB (MGGX2TY / A).,549.0,0,12141714,APP,Apple,tablets
APP0915,Apple Smart Case iPad Air 2 Case Soft Pink,Smart Leather Case for iPad Air 2.,89.0,0,12635403,APP,Apple,tech accessories
APP0916,Apple Smart Cover iPad Air 2 Case Black,Smart Leather Case for iPad Air 2.,89.0,0,12635403,APP,Apple,tech accessories
APP0917,Apple Smart Case iPad Air Case 2 Red,Smart Leather Case for iPad Air 2.,89.0,0,12635403,APP,Apple,tech accessories
APP0927,EarPods Apple Headphones with Remote and Mic (OEM),EarPods headphones Apple iPhone iPad and iPod with microphone and remote control,35.0,1,5384,APP,Apple,computer parts
APP0017-A,Open - Apple Keyboard Keypad for Mac Spanish,USB ultrathin Apple Keyboard Spanish for Mac.,59.0,0,1298,APP,Apple,others
